# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
24,2654,1.546585,2.442562,2.680117
17,1922,0.781930,1.426897,3.183766
17,1919,0.559704,0.843635,1.458398
18,2024,0.801868,1.625835,2.631628
18,2015,2.743719,3.860784,3.652985
16,1763,0.488778,0.937606,1.800472
17,1888,2.351213,1.938900,1.395502
18,1925,0.872813,1.613151,2.340845
18,1924,0.571619,1.205461,2.029715
14,1522,0.751924,1.949757,3.280245
14,1522,0.602764,1.836933,3.150735
14,1522,0.518230,0.864778,1.691734
15,1554,0.443976,1.063007,1.744843
15,1552,0.847169,1.545817,3.261219
13,1300,0.816606,1.452593,4.183054
16,1628,1.509028,1.608781,2.527850
17,1727,0.858404,1.524172,2.477380
16,1627,1.638476,2.298818,1.820280
17,1652,0.543357,1.007463,2.306530
16,1564,0.791867,1.322152,2.034229
18,1696,1.622852,1.646889,2.978867
13,1221,0.479285,0.908056,1.263909
14,1287,0.548718,1.402763,1.937140
14,1287,0.528179,1.580736,2.042895
14,1287,0.546872,0.777142,1.711294
13,1185,0.404383,0.634321,1.791487
13,1185,0.413096,0.555443,2.422553
11,1027,1.362190,0.633385,1.115707
12,1073,0.362518,0.602003,1.504333
12,1073,0.596810,0.848816,1.785859
13,1166,1.063221,1.741049,2.739330
12,1107,0.583120,0.828098,1.983313
12,1107,0.505706,0.605532,1.400594
13,1182,0.556278,0.966708,2.182584
14,1236,0.618544,0.826401,1.525307
15,1283,0.653054,1.104156,2.713226
15,1280,0.521041,0.588381,1.708528
15,1280,0.460141,0.514502,1.580001
14,1225,0.396785,0.451787,1.537380
15,1267,0.522860,0.689232,1.843276
15,1266,0.615615,0.870323,2.007050
15,1266,0.464368,0.528229,1.408115
15,1266,0.498913,0.605054,1.606978
16,1321,0.435236,0.788026,1.641748
16,1319,0.878432,1.803423,4.059991
16,1319,0.960181,2.033630,2.220060
16,1319,0.625370,0.743520,3.243434
16,1319,0.591014,0.791945,2.258129
16,1319,0.591790,1.026561,1.905172
17,1388,1.018296,0.772638,2.022381
17,1383,0.716493,0.904214,2.029143
18,1438,0.556917,0.864056,3.167614
19,1565,1.047937,1.387033,3.586505
18,1504,1.012174,2.538022,2.577839
18,1504,0.541028,0.668410,1.737015
19,1607,1.062410,2.489985,4.896483
19,1589,0.819752,1.134578,2.798129
20,1644,0.669807,0.795213,1.679940
20,1658,1.048266,1.650458,3.981959
20,1631,0.666902,1.364613,2.205658
21,1684,0.768575,0.992374,2.212549
20,1629,0.653796,0.709840,1.906643
21,1687,0.781244,0.964375,2.178107
22,1723,0.748582,0.824943,2.218960
22,1723,0.660612,0.682912,2.196506
21,1668,3.264170,0.852464,1.865495
22,1717,0.680297,0.940319,2.479862
22,1708,0.977413,1.933445,2.420530
22,1708,1.187908,1.623612,2.307726
22,1708,3.780567,3.946363,3.022658
23,1784,0.649223,0.856958,2.195710
23,1775,0.727439,0.858327,2.776512
24,1830,1.317271,3.008370,3.339307
24,1829,1.102123,1.084474,1.971836
25,1914,1.379378,1.683651,2.899899
25,1891,1.702134,4.760314,3.652400
25,1890,0.692850,0.804213,1.492971
23,1810,0.742125,3.478085,2.760233
24,1945,2.702881,1.009804,1.870986
23,1796,1.186059,2.340150,1.394215
23,1794,1.100603,1.437443,1.648241
23,1698,0.891203,1.279071,2.584585
23,1688,0.940413,1.569504,1.937102
23,1688,1.357830,1.651244,3.856051
23,1688,0.602236,0.547687,1.008955
24,1728,1.440213,2.108832,2.535697
24,1717,0.691461,0.912749,1.546699
24,1717,0.626226,0.690924,1.294323
23,1648,0.639404,0.993497,1.401662
25,1747,0.884470,2.661672,2.908886
25,1739,0.795443,1.084704,1.499335
